uni,f,value
row,urbusk,0.43972845116154374
row,urbskl,0.007713995970945075
row,urbsusk,2.7868243556182466
row,urbsskl,0.014056757991222905
row,rurusk,0.05607046388936881
row,rurskl,0.053983129676114405
row,cap,7.836213360050697
costau,urbusk,1.9694278154888984
costau,urbskl,2.6751276027125317
costau,urbsusk,7.442099303093819
costau,urbsskl,3.344151495988753
sierrau,urbusk,0.8200728146309931
sierrau,urbskl,1.742602435529758
sierrau,urbsusk,6.283359247752483
sierrau,urbsskl,2.378571993182857
selvau,urbusk,0.47170471268702396
selvau,urbskl,0.9929458309696533
selvau,urbsusk,2.165952360571596
selvau,urbsskl,0.8498286228477911
lima,urbusk,2.828344376949834
lima,urbskl,3.7093131978603053
lima,urbsusk,31.47776203638659
lima,urbsskl,12.589337140712637
costar,rurusk,1.6273425705086766
costar,rurskl,1.0692076711513798
sierrar,rurusk,4.656063574902644
sierrar,rurskl,2.2188179193119253
selvar,rurusk,1.7361431564306238
selvar,rurskl,0.6342262732992786
ent,cap,108.81084118867184
