g,s,value
agr,agr,3.8096939520000004
agr,fsh,0.002082749
agr,min,0.055375116
agr,foo,12.577551360000001
agr,txt,0.7037420160000001
agr,mac,0.394291008
agr,chm,0.027195108000000003
agr,con,0.030013382
agr,com,0.002419652
agr,hea,0.007840614000000001
agr,gov,0.24576529600000002
agr,srv,0.005267307000000001
agr,htl,1.14356864
fsh,fsh,1.683086976
fsh,min,0.002201906
fsh,foo,0.276306496
fsh,txt,4.6341e-05
fsh,mac,9.487e-06
fsh,chm,0.028123434000000003
fsh,com,1.0498e-05
fsh,hea,0.000966913
fsh,gov,0.029352268
fsh,htl,0.18466137600000002
min,agr,0.080216992
min,fsh,0.58365024
min,min,15.121562624000001
min,foo,0.363822176
min,txt,0.10848010400000001
min,mac,2.3259041280000003
min,chm,0.441273888
min,con,1.074452608
min,com,0.234422448
min,trn,3.84985216
min,hea,0.021771412
min,edu,0.12022340000000001
min,gov,0.44567004800000004
min,srv,0.53439488
min,htl,0.25583859200000003
foo,agr,0.701936
foo,fsh,0.020257402
foo,min,0.10477939200000001
foo,foo,4.384845312
foo,txt,0.29039916800000004
foo,mac,0.018300138
foo,chm,0.28307622400000004
foo,con,0.002739123
foo,com,0.067745752
foo,trn,3.8818e-05
foo,hea,0.014169265
foo,gov,0.36984307200000005
foo,srv,0.09275912800000001
foo,htl,5.550461952
txt,agr,0.038144828000000006
txt,fsh,0.169157616
txt,min,0.11977852000000001
txt,foo,0.2680728
txt,txt,5.756894208
txt,mac,0.390434912
txt,chm,0.084625696
txt,con,0.12186361600000001
txt,com,0.080718896
txt,trn,0.059629600000000005
txt,hea,0.310868256
txt,edu,0.006611835000000001
txt,gov,0.49256384000000003
txt,srv,0.8415209600000001
txt,htl,0.8988577280000001
mac,agr,0.42087904000000004
mac,fsh,0.6168022400000001
mac,min,2.168434944
mac,foo,1.3478336000000002
mac,txt,0.62351584
mac,mac,6.77951744
mac,chm,1.4253402880000001
mac,con,8.387492864
mac,com,0.746430016
mac,trn,2.5803008000000003
mac,hea,0.29140784000000003
mac,edu,0.639206336
mac,gov,0.9855173760000001
mac,srv,2.2774656
mac,htl,0.695785408
chm,agr,1.6282609920000002
chm,fsh,0.120788424
chm,min,0.913324416
chm,foo,0.910335168
chm,txt,0.7913237120000001
chm,mac,2.8184619520000003
chm,chm,4.313874432
chm,con,0.43978467200000004
chm,com,0.42935488000000005
chm,trn,0.127860416
chm,hea,0.584398784
chm,edu,0.60423104
chm,gov,0.50696208
chm,srv,1.2528130560000001
chm,htl,0.40145632000000003
con,fsh,0.0006129730000000001
con,min,0.13941856
con,foo,0.008043272
con,txt,0.020982298
con,mac,0.022381096000000003
con,chm,0.013290982000000002
con,con,0.039100372
con,com,0.015939752
con,trn,0.10699528000000001
con,hea,0.014007359
con,edu,0.0030048550000000003
con,gov,0.340329792
con,srv,0.217402064
con,htl,0.090694224
trn,agr,0.304317504
trn,fsh,0.256406576
trn,min,2.4746805760000004
trn,foo,1.437746816
trn,txt,0.6380960640000001
trn,mac,1.055292672
trn,chm,0.456163456
trn,con,0.8250501760000001
trn,com,6.480804864
trn,trn,2.461726208
trn,hea,0.107161184
trn,edu,0.212755872
trn,gov,0.71675456
trn,srv,1.5193952000000002
trn,htl,0.727837952
hea,hea,0.013646836
edu,fsh,0.001456796
edu,min,0.01862058
edu,foo,0.006257316000000001
edu,txt,0.035581928
edu,mac,0.054472204
edu,con,0.041009996
edu,com,0.015465498000000001
edu,trn,0.0062714780000000005
edu,hea,0.0036812000000000004
edu,edu,0.074590904
edu,gov,0.028056364
edu,srv,0.39810528
edu,htl,0.003281599
srv,agr,0.8843056640000001
srv,fsh,0.42693344000000005
srv,min,3.2173708800000003
srv,foo,1.773614464
srv,txt,1.089521792
srv,mac,2.507231232
srv,chm,1.1558316800000001
srv,con,1.377506688
srv,com,4.395428352000001
srv,trn,6.11151872
srv,hea,1.231432448
srv,edu,1.068868224
srv,gov,2.186349312
srv,srv,10.28203008
srv,htl,1.567722752
htl,fsh,0.013313738
htl,min,0.115920856
htl,foo,0.046311296
htl,txt,0.0067252580000000005
htl,mac,0.10950614400000001
htl,chm,0.042756748000000004
htl,con,0.088261856
htl,com,0.0948466
htl,trn,0.52929536
htl,hea,0.011602153
htl,edu,0.00109416
htl,gov,0.398848256
htl,srv,0.516942432
htl,htl,0.072554224
