s,g,value
agr,agr,25.571645830036083
agr,foo,0.36897545600000003
agr,txt,0.014812143000000002
agr,con,0.1395516
agr,com,0.001300827
fsh,fsh,6.694616701786015
fsh,foo,0.0036397630000000003
fsh,txt,0.039037124
fsh,mac,0.07563233600000001
fsh,chm,0.014597623
fsh,con,0.032045062
fsh,com,0.001261366
fsh,trn,0.0129475
fsh,srv,0.17138929600000002
min,min,41.918140416
min,mac,0.036949224
min,chm,0.100371736
min,con,0.695896768
min,com,0.24548254400000002
min,trn,0.014476542
min,hea,0.085282168
min,edu,0.07928982400000001
min,srv,0.5195416
min,htl,0.135817456
foo,agr,0.015683852
foo,foo,28.403625706246206
foo,txt,0.013411283000000001
foo,mac,0.007759258000000001
foo,chm,0.26061544000000003
foo,con,0.25226336
foo,com,0.148594
foo,srv,0.37280121600000005
foo,htl,0.000393609
txt,agr,0.000869589
txt,foo,0.01095892
txt,txt,15.138912897956775
txt,mac,0.014485371
txt,chm,0.0007273840000000001
txt,con,0.037110096
txt,com,0.0806514
txt,srv,0.17950649600000002
mac,min,0.0716566
mac,txt,0.008999944000000001
mac,mac,25.94684744733104
mac,chm,0.046184100000000006
mac,con,0.07387805600000001
mac,com,0.263150208
mac,trn,0.0026052700000000002
mac,edu,4.9064e-05
mac,srv,0.147773344
chm,min,0.0033549910000000003
chm,foo,0.069773264
chm,txt,0.00017746300000000002
chm,mac,0.18913912000000002
chm,chm,13.475708928000001
chm,con,0.075745192
chm,com,0.20440454400000002
chm,trn,0.0009492540000000001
chm,srv,0.265423952
con,mac,0.050477232000000004
con,con,22.948540416
con,com,0.028166068000000002
con,trn,0.000862166
con,srv,0.795420224
com,mac,0.061062576
com,chm,0.00506845
com,con,0.023266942000000002
com,com,46.083428352000006
com,trn,0.002284911
com,srv,0.139589392
com,htl,0.013081495
trn,mac,0.002889697
trn,chm,0.000412139
trn,con,0.65151616
trn,com,0.021650290000000003
trn,trn,33.48279563789744
trn,srv,0.0677818
trn,htl,3.3440000000000005e-05
hea,con,0.0020481600000000003
hea,com,0.088619312
hea,hea,6.361663997024406
hea,srv,0.0013880560000000001
edu,chm,2.2420000000000002e-05
edu,con,0.002046828
edu,com,0.007153783
edu,edu,10.282318896938733
edu,srv,0.000400282
gov,agr,0.027627854
gov,fsh,0.0005894390000000001
gov,min,0.013406625
gov,foo,0.009590375
gov,txt,0.005008599000000001
gov,mac,0.001494995
gov,chm,0.137881104
gov,trn,0.046985360000000004
gov,gov,20.681877504000003
gov,srv,0.097409272
gov,htl,0.09470929600000001
srv,foo,0.0033568450000000002
srv,chm,0.0007140330000000001
srv,con,0.654537664
srv,com,0.253850032
srv,trn,0.000159845
srv,srv,51.814580224000004
srv,htl,0.00010679000000000001
htl,con,0.0026324570000000004
htl,com,0.001295616
htl,trn,0.009800634
htl,srv,0.022902290000000002
htl,htl,18.065891989475396
